id,ime,fakulteta,univerza,predmeti,st_ocen,ocena

1495,Marvin Tatjana,Filozofska fakulteta,Univerza v Ljubljani,"['Moderni angleški jezik iv', 'Angleški glagol II']",51,3.7

1496,Matajc Vanesa,Filozofska fakulteta,Univerza v Ljubljani,"['Uvod v literarno teorijo', 'Zgodovina romana', 'Literarna in filmska zgodba']",110,4.1

1497,Maver Igor,Filozofska fakulteta,Univerza v Ljubljani,[''],260,3.4

1498,Medveš Zdenko,Filozofska fakulteta,Univerza v Ljubljani,[''],21,3.0

1499,Mencej Mirjana,Filozofska fakulteta,Univerza v Ljubljani,[''],20,3.9

1500,Miheljak Vlado,Filozofska fakulteta,Univerza v Ljubljani,"['Uvod v socialno psihologijo', 'Konstrukcija socialnega sveta']",56,3.3

1501,Miladinović Zalaznik Mira,Filozofska fakulteta,Univerza v Ljubljani,[''],139,3.5

1502,Milojević Sheppard Milena,Filozofska fakulteta,Univerza v Ljubljani,['Angleška stavčna sintaksa'],71,3.2

1503,Milčinski Maja,Filozofska fakulteta,Univerza v Ljubljani,[''],76,3.5

1504,Mlacovič Dušan,Filozofska fakulteta,Univerza v Ljubljani,['Obča zgodovina- srednji vek'],52,3.9

1505,Mlekuž Dimitrij,Filozofska fakulteta,Univerza v Ljubljani,"['Prostorska in krajinska arheologija', 'Daljinsko zaznavanje in gis v arheologiji']",19,4.6

1506,Moritoki Nagisa,Filozofska fakulteta,Univerza v Ljubljani,[''],16,3.9

1507,Movrin David,Filozofska fakulteta,Univerza v Ljubljani,['Stara grščina'],25,4.4

1508,Mozetič Uroš,Filozofska fakulteta,Univerza v Ljubljani,[''],95,3.6

1509,Močnik Rastko,Filozofska fakulteta,Univerza v Ljubljani,"['', '']",112,2.9

1510,Muršak Janko,Filozofska fakulteta,Univerza v Ljubljani,[''],44,3.1

1511,Muršič Rajko,Filozofska fakulteta,Univerza v Ljubljani,[''],42,3.2

1512,Natek Karel,Filozofska fakulteta,Univerza v Ljubljani,['Geografija'],57,3.6

1513,Nećak Dušan,Filozofska fakulteta,Univerza v Ljubljani,[''],53,3.6

1514,Novak Klemenčič Renata,Filozofska fakulteta,Univerza v Ljubljani,['Terenske vaje'],6,4.3

1515,Novak-lukanović Sonja,Filozofska fakulteta,Univerza v Ljubljani,[''],192,2.9

1516,Novak-popov Irena,Filozofska fakulteta,Univerza v Ljubljani,[''],59,3.8

1517,Novaković Predrag,Filozofska fakulteta,Univerza v Ljubljani,[''],33,3.2

1518,Ogrin Darko,Filozofska fakulteta,Univerza v Ljubljani,[''],50,3.2

1519,Ogrin Matej,Filozofska fakulteta,Univerza v Ljubljani,['Klimatogeografija '],58,3.0

1520,Omladič Luka,Filozofska fakulteta,Univerza v Ljubljani,[''],7,3.9

1521,Opel Insignia,Filozofska fakulteta,Univerza v Ljubljani,[''],5,4.2

1522,Orel Irena,Filozofska fakulteta,Univerza v Ljubljani,[''],26,3.2

1523,Orešnik Janez,Filozofska fakulteta,Univerza v Ljubljani,[''],35,4.0

1524,Osolnik Vladimir,Filozofska fakulteta,Univerza v Ljubljani,[''],23,4.0

1525,Oven Jacqueline,Filozofska fakulteta,Univerza v Ljubljani,"['Francoščina v rabi', 'Administrativna in poslovna francoščina']",45,3.9

1526,Ošlaj Borut,Filozofska fakulteta,Univerza v Ljubljani,[''],71,4.1

1527,Ožbot Martina,Filozofska fakulteta,Univerza v Ljubljani,[''],24,4.1

1528,Peklaj Cirila,Filozofska fakulteta,Univerza v Ljubljani,[''],58,3.7

1529,Perko Gregor,Filozofska fakulteta,Univerza v Ljubljani,"['Sintaksa povedi in besedilo', 'Imenska kontrastivna morfosintaksa']",171,4.6

1530,Petek Nina,Filozofska fakulteta,Univerza v Ljubljani,[''],2,3.5

1531,Petrič Jerneja,Filozofska fakulteta,Univerza v Ljubljani,[''],32,3.2

1532,Petrovčič Mateja,Filozofska fakulteta,Univerza v Ljubljani,[''],34,2.9

1533,Pettan Svanibor,Filozofska fakulteta,Univerza v Ljubljani,[''],20,4.2

1534,Pihler Ciglič Barbara,Filozofska fakulteta,Univerza v Ljubljani,[''],5,4.4

1535,Pintarič Miha,Filozofska fakulteta,Univerza v Ljubljani,[''],35,4.0

1536,Plut Dušan,Filozofska fakulteta,Univerza v Ljubljani,['Urbana ekologija'],64,3.3

1537,Podlesnik Blaž,Filozofska fakulteta,Univerza v Ljubljani,['Pregled ruske kulturne zgodovine'],54,3.5

1538,Pogačnik Vladimir,Filozofska fakulteta,Univerza v Ljubljani,[''],27,3.7

1539,Pompe Grega,Filozofska fakulteta,Univerza v Ljubljani,[''],2,1.0

1540,Pompe Gregor,Filozofska fakulteta,Univerza v Ljubljani,[''],3,3.7

1541,Potrč Matjaž,Filozofska fakulteta,Univerza v Ljubljani,"['Moralna filozofija', 'Analitična filozofija']",81,3.0

1542,Požgaj Hadži Vesna,Filozofska fakulteta,Univerza v Ljubljani,[''],35,3.3

1543,Praper Peter,Filozofska fakulteta,Univerza v Ljubljani,[''],14,3.1

1544,Pribac Igor,Filozofska fakulteta,Univerza v Ljubljani,"['Filozofija zgodovine', 'Zgodo vina politične misli']",162,2.8

1545,Rebernik Dejan,Filozofska fakulteta,Univerza v Ljubljani,[''],33,3.4

1546,Repe Blaž,Filozofska fakulteta,Univerza v Ljubljani,"['Biogeografija', 'Pedogeografija', 'Temelji informacijske tehnologije in gis', 'Osnove tematske kartografije']",173,3.7

1547,Repe Božo,Filozofska fakulteta,Univerza v Ljubljani,['Sodobna slovenska zgodovina'],91,3.2

1548,Resman Metod,Filozofska fakulteta,Univerza v Ljubljani,[''],12,3.2

1549,Resnik Planinc Tatjana,Filozofska fakulteta,Univerza v Ljubljani,[''],23,3.1

1550,Ribizel Tjaša,Filozofska fakulteta,Univerza v Ljubljani,[''],0,0

1551,Ritsrare Eliza,Filozofska fakulteta,Univerza v Ljubljani,[''],4,4.0

1552,Rizman Rudolf,Filozofska fakulteta,Univerza v Ljubljani,[''],42,3.5

1553,Rot Gabrovec Veronika,Filozofska fakulteta,Univerza v Ljubljani,"['Jezik v rabi', 'Avstralska družba in kultura']",293,4.1

1554,Rozman Andrej,Filozofska fakulteta,Univerza v Ljubljani,[''],58,2.9

1555,Rošker Jana,Filozofska fakulteta,Univerza v Ljubljani,['Metodologija medkulturnih raziskav ... itd.'],243,3.2

1556,Ryu Hyeonsook,Filozofska fakulteta,Univerza v Ljubljani,[''],15,4.4

1557,Sabadin Argio,Filozofska fakulteta,Univerza v Ljubljani,[''],11,3.1

1558,Saje Mitja,Filozofska fakulteta,Univerza v Ljubljani,['Zgodovina vzhodne azije'],142,2.7

1559,Sangawa Noriaki,Filozofska fakulteta,Univerza v Ljubljani,[''],7,4.7

1560,Schlamberger Brezar Mojca,Filozofska fakulteta,Univerza v Ljubljani,[''],37,3.7

1561,Semide Irena,Filozofska fakulteta,Univerza v Ljubljani,[''],11,3.6

1562,Senčar Marjeta,Filozofska fakulteta,Univerza v Ljubljani,['Lektorske vaje iz nemškega jezika'],14,3.1

1563,Sernelj Tea,Filozofska fakulteta,Univerza v Ljubljani,[''],12,2.2

1564,Sešek Urška,Filozofska fakulteta,Univerza v Ljubljani,[''],41,3.0

1565,Shigemori Bučar Chikako,Filozofska fakulteta,Univerza v Ljubljani,"['Strokovno pisanje v japonščini', 'Sodobna japonščina']",63,3.7

1566,Sicherl Eva,Filozofska fakulteta,Univerza v Ljubljani,[''],54,2.7

1567,Simoniti Vasko,Filozofska fakulteta,Univerza v Ljubljani,[''],155,3.5

1568,Skela Janez,Filozofska fakulteta,Univerza v Ljubljani,[''],72,3.6

1569,Slapšak Božidar,Filozofska fakulteta,Univerza v Ljubljani,['Rimska arheologija'],33,3.4

1570,Smole Vera,Filozofska fakulteta,Univerza v Ljubljani,['Socialne zvrsti slovenskega jezika'],102,3.1

1571,Smolej Tone,Filozofska fakulteta,Univerza v Ljubljani,"['Uvod v primerjalno književnost', 'Realizem in naturalizem']",92,3.0

1572,Smolej Mojca,Filozofska fakulteta,Univerza v Ljubljani,[''],23,4.3

1573,Snoj Marko,Filozofska fakulteta,Univerza v Ljubljani,[''],30,3.6

1574,Sokolov Cvetka,Filozofska fakulteta,Univerza v Ljubljani,[''],59,3.5

1575,Spanring Poredoš Marina,Filozofska fakulteta,Univerza v Ljubljani,['Moderni ruski jezik i '],59,3.2

1576,Stabej Marko,Filozofska fakulteta,Univerza v Ljubljani,['Družbene razsežnosti slovenskega jezika'],198,3.8

1577,Stefanija Leon,Filozofska fakulteta,Univerza v Ljubljani,[''],19,4.4

1578,Stepišnik Uroš,Filozofska fakulteta,Univerza v Ljubljani,['Fizična geografija '],20,4.0

1579,Stopar Andrej,Filozofska fakulteta,Univerza v Ljubljani,[''],208,2.8

1580,Strahovnik Vojko,Filozofska fakulteta,Univerza v Ljubljani,['Logika in argumentacija'],18,4.5

1581,Strsoglavec Đurđa,Filozofska fakulteta,Univerza v Ljubljani,['Hrvaška in srbska književnost'],41,3.7

1582,Svetel Ana,Filozofska fakulteta,Univerza v Ljubljani,[''],3,3.7

1583,Svetina Matija,Filozofska fakulteta,Univerza v Ljubljani,[''],27,4.0

1584,Tekavčič Grad Onja,Filozofska fakulteta,Univerza v Ljubljani,['Zdravstvena psihologija'],16,3.9

1585,Teržan Ljubinka,Filozofska fakulteta,Univerza v Ljubljani,[''],34,3.6

1586,Tivadar Hotimir,Filozofska fakulteta,Univerza v Ljubljani,['Fonetika 1'],152,4.0

1587,Toth Cvetka,Filozofska fakulteta,Univerza v Ljubljani,[''],239,4.0

1588,Trobevšek Drobnak Frančiška,Filozofska fakulteta,Univerza v Ljubljani,"['Uvod v splošno jezikoslovje', 'Uvod v zgodovino angleščine']",228,4.1

1589,Troha Gašper,Filozofska fakulteta,Univerza v Ljubljani,[''],6,4.3

1590,Turk Boštjan Marko,Filozofska fakulteta,Univerza v Ljubljani,[''],255,3.6

1591,Uhlik Mladen,Filozofska fakulteta,Univerza v Ljubljani,"['Dodatne vaje za moderni ruski jezik i ', 'Ru jezikoslovni seminar', 'Pregled slovnice', 'Skladnja']",80,3.8

1592,Ule Andrej,Filozofska fakulteta,Univerza v Ljubljani,[''],25,3.6

1593,Urbas Janja,Filozofska fakulteta,Univerza v Ljubljani,['Moderni ruski jezik i '],30,3.7

1594,Uršič Marko,Filozofska fakulteta,Univerza v Ljubljani,['Logiški ples na drogu'],45,3.8

1595,Vampelj Suhadolnik Nataša,Filozofska fakulteta,Univerza v Ljubljani,[''],72,2.9

1596,Verginella Marta,Filozofska fakulteta,Univerza v Ljubljani,[''],225,3.7

1597,Veselko Vita,Filozofska fakulteta,Univerza v Ljubljani,[''],3,4.7

1598,Vidmar Horvat Ksenija,Filozofska fakulteta,Univerza v Ljubljani,['Uvod v sociologijo kulture I'],95,3.3

1599,Vidrih Rebeka,Filozofska fakulteta,Univerza v Ljubljani,"['Proseminar iz obče umetnostne zgodovine', 'Fotografija in mediji sodobne umetnosti']",71,2.7

1600,Vidrih-perko Verena,Filozofska fakulteta,Univerza v Ljubljani,[''],26,4.2

1601,Vintar Mally Katja,Filozofska fakulteta,Univerza v Ljubljani,"['Uvod v geografijo', 'Geografija s afrike in jz azije', 'Geografija podsaharske afrike', 'Ekološka geografija', 'Geografija severne afrike in jugozahodne azije']",60,4.7

1602,Virk Tomislav,Filozofska fakulteta,Univerza v Ljubljani,[''],208,4.1

1603,Visočnik Nataša,Filozofska fakulteta,Univerza v Ljubljani,[''],10,3.9

1604,Vitez Primooz,Filozofska fakulteta,Univerza v Ljubljani,"['Pravopis in pravorečje', 'Pravajanje v sloveščino']",27,2.8

1605,Vodopivec Jedert,Filozofska fakulteta,Univerza v Ljubljani,[''],5,3.4

1606,Vogel Jerica,Filozofska fakulteta,Univerza v Ljubljani,[''],0,0

1607,Vogrinc Jože,Filozofska fakulteta,Univerza v Ljubljani,[''],66,3.4

1608,Vogrinc Javoršek Urša,Filozofska fakulteta,Univerza v Ljubljani,[''],93,3.9

1609,Vrbinc Marjeta,Filozofska fakulteta,Univerza v Ljubljani,"['Prevajanje v slovenščino', 'Prevajanje v angleščino']",7,4.3

1610,Vremšak Richter Vanda,Filozofska fakulteta,Univerza v Ljubljani,['Nemška fonetika'],53,4.0

1611,Vrečko Janez,Filozofska fakulteta,Univerza v Ljubljani,"['Svetovna književnost', 'Ep in tragedija', 'Zgodovina avandgard']",431,4.0

1612,Vörös Sebastjan,Filozofska fakulteta,Univerza v Ljubljani,['Osnove spoznavne teorije'],48,4.7

1613,Zabukovec Vlasta,Filozofska fakulteta,Univerza v Ljubljani,"['Kognitivni procesi v organizaciji informacij', 'Uvod v psihologijo']",60,2.8

1614,Zavašnik Mihaela,Filozofska fakulteta,Univerza v Ljubljani,[''],1,5.0

1615,Zore Franc,Filozofska fakulteta,Univerza v Ljubljani,[''],58,3.6

1616,Zupančič Jernej,Filozofska fakulteta,Univerza v Ljubljani,[''],50,3.0

1617,Černe Andrej,Filozofska fakulteta,Univerza v Ljubljani,[''],51,3.1

1618,Čop Breda,Filozofska fakulteta,Univerza v Ljubljani,['Latinski jezik'],19,3.8

1619,Šabec Maja,Filozofska fakulteta,Univerza v Ljubljani,[''],16,3.6

1620,Šauperl Alenka,Filozofska fakulteta,Univerza v Ljubljani,[''],41,3.0

1621,Šega Agata,Filozofska fakulteta,Univerza v Ljubljani,"['Uvod v francosko slovnico', 'Glagolska morfosintaksa']",78,2.7

1622,Šifrar Kalan Marjana,Filozofska fakulteta,Univerza v Ljubljani,[''],11,3.5

1623,Šilc Matic,Filozofska fakulteta,Univerza v Ljubljani,[''],0,0

1624,Širca Alen Albin,Filozofska fakulteta,Univerza v Ljubljani,[''],5,3.6

1625,Šivic Dular Alenka,Filozofska fakulteta,Univerza v Ljubljani,['Uvod v slovansko jezikoslovje'],35,3.0

1626,Škamperle Igor,Filozofska fakulteta,Univerza v Ljubljani,[''],34,2.6

1627,Šmitek Zmago,Filozofska fakulteta,Univerza v Ljubljani,[''],17,3.1

1628,Špes Metka,Filozofska fakulteta,Univerza v Ljubljani,[''],24,3.5

1629,Šporčič Anamarija,Filozofska fakulteta,Univerza v Ljubljani,"['Jezik v rabi', 'Britanska družba in kultura', 'Angleška poezija 16.-19. stoletje', 'Angleška poezija po 19. stoletju']",88,4.3

1630,Štefanac Samo,Filozofska fakulteta,Univerza v Ljubljani,[''],46,3.2

1631,Štefanc Damijan,Filozofska fakulteta,Univerza v Ljubljani,['Didaktika'],100,2.8

1632,Štih Peter,Filozofska fakulteta,Univerza v Ljubljani,[''],111,3.2

1633,Štuhec Marko,Filozofska fakulteta,Univerza v Ljubljani,['Obča zgodovina novi vek'],78,3.7

1634,Štumberger Saška,Filozofska fakulteta,Univerza v Ljubljani,"['Morfologija slovenskega knjižnega jezika - vaje', 'Besedotvorje skj']",118,3.0

1635,Šupčina Marjetka,Filozofska fakulteta,Univerza v Ljubljani,['Uvod v gejevske in lezbične študije'],5,3.4

1636,Šuštaršič Rastislav,Filozofska fakulteta,Univerza v Ljubljani,"['Angleška fonetika in fonologija', 'Angleški jezik - zgovorjava']",85,3.9

1637,Žbogar Alenka,Filozofska fakulteta,Univerza v Ljubljani,[''],0,0

1638,Želježič Mirjana,Filozofska fakulteta,Univerza v Ljubljani,['Jezik v rabi'],25,3.4

1639,Žerovc Beti,Filozofska fakulteta,Univerza v Ljubljani,[''],6,2.3

1640,Žerovec Beti,Filozofska fakulteta,Univerza v Ljubljani,[''],2,3.5

1641,Žižek Slavoj,Filozofska fakulteta,Univerza v Ljubljani,[''],220,3.8

1642,Žugelj Nataša,Filozofska fakulteta,Univerza v Ljubljani,"['Francoščina v rabi 1', 'Francoščina v rabi 2', 'Francoščina za filozofe 1']",55,2.0

1643,Žumer Maja,Filozofska fakulteta,Univerza v Ljubljani,[''],37,2.9

1644,Hladnik Miran Hladnik,Filozofska fakulteta,Univerza v Ljubljani,['Uvod v vikipedistiko'],70,2.4

1645,Pezdirc Bartol Mateja,Filozofska fakulteta,Univerza v Ljubljani,[''],8,3.5

1646,Vidovič Muha Ada,Filozofska fakulteta,Univerza v Ljubljani,"['', '']",24,2.5

1647,Zorman Marina,Filozofska fakulteta,Univerza v Ljubljani,"['Primerjalno jezikoslovje', 'Primerjalno jezikoslovje']",46,1.7

1648,Zupan Sosič Alojzija,Filozofska fakulteta,Univerza v Ljubljani,"['', '', '']",234,3.8999999999999995

1649,Šega Čeh Barbara,Filozofska fakulteta,Univerza v Ljubljani,['Latinščina'],9,3.6

1650,Avsec Andreja,Filozofska fakulteta,Univerza v Ljubljani,['Motivacija in emocije'],135,3.1

1651,Bajec Boštjan,Filozofska fakulteta,Univerza v Ljubljani,"['Psihologija dela', 'Uvod v psihologijo dela in organizacije']",154,3.0

1652,Boštjančič Eva,Filozofska fakulteta,Univerza v Ljubljani,"['Psihologija dela', 'Kadrovska psihologija', 'Organizacijska psihologija']",96,3.6

1653,Bračič Mark,Filozofska fakulteta,Univerza v Ljubljani,[''],39,4.0

1654,Bucik Valentin,Filozofska fakulteta,Univerza v Ljubljani,"['Psihometrija', 'Metodologija psih. raziskovanja', 'Multivariatne metode']",164,3.7

1655,Depolli Steiner Katja,Filozofska fakulteta,Univerza v Ljubljani,[''],18,2.2

1656,Fekonja Pekljaj Urška,Filozofska fakulteta,Univerza v Ljubljani,['Razvojna psihologija otroštva'],68,3.6

1657,Horvat Ludvik,Filozofska fakulteta,Univerza v Ljubljani,[''],30,3.2

1658,Jebeda Tastran,Filozofska fakulteta,Univerza v Ljubljani,[''],1,5.0

1659,Kobal Grum Darja,Filozofska fakulteta,Univerza v Ljubljani,"['Motivacija in emocije', 'Motivacija in emocije']",308,2.3

1660,Komidar Luka,Filozofska fakulteta,Univerza v Ljubljani,['Statistika'],118,3.0

1661,Marjanovič Umek Ljubica,Filozofska fakulteta,Univerza v Ljubljani,"['Razvojna psihologija', 'Razvojna psihologija']",240,3.1

1662,Masten Robert,Filozofska fakulteta,Univerza v Ljubljani,['Klinična psihologija'],126,3.9

1663,Matkovič Andraž,Filozofska fakulteta,Univerza v Ljubljani,[''],32,2.0

1664,Musek Janek,Filozofska fakulteta,Univerza v Ljubljani,"['Psihologija osebnosti', 'Uvod v psihologijo', 'Psihologija osebnosti', 'Uvod v psihologijo']",260,2.8

1665,Pečjak Sonja,Filozofska fakulteta,Univerza v Ljubljani,"['Pedagoška psihologija', 'Pedagoška psihologija']",188,3.1

1666,Pirc Tina,Filozofska fakulteta,Univerza v Ljubljani,[''],12,4.2

1667,Pirtošek Zvezdan,Filozofska fakulteta,Univerza v Ljubljani,"['Nevropsihologija', 'Nevropsihologija']",276,4.0

1668,Podlesek Anja,Filozofska fakulteta,Univerza v Ljubljani,['Statistika'],117,3.4

1669,Podreka Jasna,Filozofska fakulteta,Univerza v Ljubljani,[''],14,2.9

1670,Polič Marko,Filozofska fakulteta,Univerza v Ljubljani,"['Obča psihologija', 'Obča psihologija']",144,2.1

1671,Puklek Levpušček Melita,Filozofska fakulteta,Univerza v Ljubljani,[''],8,2.6

1672,Repovš Grega,Filozofska fakulteta,Univerza v Ljubljani,"['Uvod v psihologijo', 'Kognitivna psihologija']",113,3.6

1673,Rus Velko,Filozofska fakulteta,Univerza v Ljubljani,"['Socialna psihologija', 'Komunikologija za psihologe', 'Socialna psihologija', 'Komunikologija za psihologe']",306,3.3

1674,Sočan Gregor,Filozofska fakulteta,Univerza v Ljubljani,[''],86,3.8

1675,Zupančič Maja,Filozofska fakulteta,Univerza v Ljubljani,"['', '']",258,2.5

1676,Čoderl Dobnik Sana,Filozofska fakulteta,Univerza v Ljubljani,[''],46,3.9

1677,Žagar Drago,Filozofska fakulteta,Univerza v Ljubljani,"['Motivacija in emocije', 'Pedagoška psihologija', 'Motivacija in emocije', 'Pedagoška psihologija']",40,2.8

1678,Žvelc Gregor,Filozofska fakulteta,Univerza v Ljubljani,[''],56,4.2

1679,Fišer Darja,Filozofska fakulteta,Univerza v Ljubljani,['Pismenost za informacijsko družbo'],37,1.7

1680,Grahek Križnar Nina,Filozofska fakulteta,Univerza v Ljubljani,[''],60,2.8

1681,Kuster Helena,Filozofska fakulteta,Univerza v Ljubljani,[''],30,2.0

1682,Maček Amalija,Filozofska fakulteta,Univerza v Ljubljani,[''],55,4.1

1683,Popič Damjan,Filozofska fakulteta,Univerza v Ljubljani,[''],129,4.4

1684,Rieger Mladen,Filozofska fakulteta,Univerza v Ljubljani,[''],97,4.2

1685,Žigon Tanja,Filozofska fakulteta,Univerza v Ljubljani,[''],108,4.0

1686,Jasna Podreka,Filozofska fakulteta,Univerza v Ljubljani,[''],4,2.0

1687,Krečič Žižek Jela,Filozofska fakulteta,Univerza v Ljubljani,[''],6,2.3

1688,Rutar Tibor,Filozofska fakulteta,Univerza v Ljubljani,['Uvod v sociologijo 2 - vaje'],22,5.0

1689,Vogrinčič Čepič Ana,Filozofska fakulteta,Univerza v Ljubljani,[''],3,2.3

1690,Zalta Bratuž Anja,Filozofska fakulteta,Univerza v Ljubljani,[''],29,4.1

1691,Potočnik Slavić Irma,Filozofska fakulteta,Univerza v Ljubljani,[''],13,3.1

1692,Anamarija Sporcic,Filozofska fakulteta,Univerza v Ljubljani,[''],22,4.8

1693,Ilc Gašper,Filozofska fakulteta,Univerza v Ljubljani,"['Angleški glagol 1', 'Angleški glagol 2', 'Angleški glagol 1', 'Angleški glagol 2']",72,4.6

1694,Lipovšek Franja,Filozofska fakulteta,Univerza v Ljubljani,"['Angleško oblikoslovje', 'Prevajanje v slovenščino']",37,4.4

1695,Urška Sešek,Filozofska fakulteta,Univerza v Ljubljani,['Jezik v rabi 2'],14,2.9

1696,Luthar Red. Prof. Dr. Oto,Filozofska fakulteta,Univerza v Ljubljani,[''],1,1.0

1697,Hočevar A.,Filozofska fakulteta,Univerza v Ljubljani,"['Predšolska pedagogika z družinsko vzgojo 1 - e', 'Institucionalna predšolska in družinska vzgoja - d']",18,3.0

1698,K. Šebart Mojca,Filozofska fakulteta,Univerza v Ljubljani,[''],8,4.2

1699,Kroflič Robi,Filozofska fakulteta,Univerza v Ljubljani,"['Teorija vzgoje', 'Pedagoška obravnava oseb s posebnimi potrebami', 'Načrtovanje vzgpjnega koncepta javne šole']",37,4.2

1700,Ličen Nives,Filozofska fakulteta,Univerza v Ljubljani,['Obča andragogika'],47,4.4

1701,Mažgon Jasna,Filozofska fakulteta,Univerza v Ljubljani,"['Pedagoška statistika', 'Uvod v pedagoško metodologijo ']",46,3.2

1702,Pesnik Lipa,Filozofska fakulteta,Univerza v Ljubljani,['Seksologija'],3,5.0

1703,Radovan Marko,Filozofska fakulteta,Univerza v Ljubljani,[''],31,4.1

1704,Skubic Ermenc Klara,Filozofska fakulteta,Univerza v Ljubljani,['Primerjalna pedagogika'],24,3.9

1705,Vidmar Tadej,Filozofska fakulteta,Univerza v Ljubljani,['Zgodovina vzgoje in izobraževanja'],65,3.0

1706,Š. Marjeta,Filozofska fakulteta,Univerza v Ljubljani,[''],11,3.0

1707,Šteh Barbara,Filozofska fakulteta,Univerza v Ljubljani,['Pedagoška psihologija 1'],26,3.2

1708,Kvartič Ambrož,Filozofska fakulteta,Univerza v Ljubljani,['Folkloristika'],21,4.8

1709,Novak Boris A.,Filozofska fakulteta,Univerza v Ljubljani,"['Literarni prevod', 'Primerjalna verzologija', 'Literarni prevod', 'Primerjalna verzologija']",48,3.5

1710,Snoj Vid,Filozofska fakulteta,Univerza v Ljubljani,"['Antični mit in evropska literatura', 'Estetika od antike do romantike']",21,4.6

1711,Virk Tomo,Filozofska fakulteta,Univerza v Ljubljani,[''],18,3.2

1712,Petru Simona,Filozofska fakulteta,Univerza v Ljubljani,[''],1,2.0

1713,Črešnar Matija,Filozofska fakulteta,Univerza v Ljubljani,[''],1,4.0

1714,Felgner Larsi,Filozofska fakulteta,Univerza v Ljubljani,[''],5,3.6

1715,Irena Samide,Filozofska fakulteta,Univerza v Ljubljani,"['Literarni sistem 1', 'Obdobja in tradicije 3 in 4']",77,4.3

1716,Kosevski Puljič Brigita,Filozofska fakulteta,Univerza v Ljubljani,"['Pisna in govorna komunikacija', 'Didaktika nemščine']",38,3.1

1717,Kramberger Petra,Filozofska fakulteta,Univerza v Ljubljani,"['Obdobja in tradicije i in ii - vaje', 'Nemško časnikarstvo na slovenskem', 'Obdobja in tradicije 3 in 4', 'Raziskovalna metodologija']",66,3.9

1718,Krevs Birk Urška,Filozofska fakulteta,Univerza v Ljubljani,['Uvod v splošno jezikoslovje'],64,3.2

1719,Leskovec Redek Christiane,Filozofska fakulteta,Univerza v Ljubljani,['Pisna in govorna komunikacija'],51,4.1

1720,Lughofer Johann,Filozofska fakulteta,Univerza v Ljubljani,[''],66,3.6

1721,Osolnik Kunc Viktorija,Filozofska fakulteta,Univerza v Ljubljani,[''],32,3.0

1722,Polajnar Janja,Filozofska fakulteta,Univerza v Ljubljani,[''],37,2.5

1723,Valenčič Arh Urška,Filozofska fakulteta,Univerza v Ljubljani,[''],22,3.7

1724,Virant Špela,Filozofska fakulteta,Univerza v Ljubljani,"['Oit v', 'Oit vi']",64,3.5

1725,Čuden Darko,Filozofska fakulteta,Univerza v Ljubljani,[''],33,3.3

1726,Cvetko Orešnik Varja,Filozofska fakulteta,Univerza v Ljubljani,[''],2,3.0

1727,Ahčan Uroš,Medicinska fakulteta,Univerza v Ljubljani,"['Nujna medicinska pomoč', 'Plastična kirurgija']",180,3.8

1728,Aničin Aleksandar,Medicinska fakulteta,Univerza v Ljubljani,[''],1,1.0

1729,Antolič Vane,Medicinska fakulteta,Univerza v Ljubljani,"['Ortopedija', 'Ginekologija']",42,3.0

1730,Artnik Barbara,Medicinska fakulteta,Univerza v Ljubljani,['Socialna medicina'],12,2.8

1731,Avbelj Magdalena,Medicinska fakulteta,Univerza v Ljubljani,[''],2,5.0

1732,Avšič - Županc Tatjana,Medicinska fakulteta,Univerza v Ljubljani,[''],32,4.1

1733,Balažič Olga,Medicinska fakulteta,Univerza v Ljubljani,[''],8,3.0

1734,Battelino Tadej,Medicinska fakulteta,Univerza v Ljubljani,['Pediatrija'],95,2.0

1735,Bavec Aljoša,Medicinska fakulteta,Univerza v Ljubljani,"['Biokemija I', 'Oralna biologija']",22,3.1

1736,Bilban Marjan,Medicinska fakulteta,Univerza v Ljubljani,['Medicina dela'],56,2.2

1737,Breskvar Katja,Medicinska fakulteta,Univerza v Ljubljani,[''],39,1.5

1738,Cankar Ksenija,Medicinska fakulteta,Univerza v Ljubljani,"['Biokemija II', 'Fiziologija']",100,1.6

1739,Cvetko Erika,Medicinska fakulteta,Univerza v Ljubljani,['Anatomija'],270,4.3

1740,Damijan Sandra,Medicinska fakulteta,Univerza v Ljubljani,[''],0,0

1741,Denišlič Miro,Medicinska fakulteta,Univerza v Ljubljani,[''],29,3.3

1742,Derganc Jure,Medicinska fakulteta,Univerza v Ljubljani,['Biofizika'],183,4.5

1743,Dolinar Drago,Medicinska fakulteta,Univerza v Ljubljani,[''],1,5.0

1744,Dolžan Vita,Medicinska fakulteta,Univerza v Ljubljani,['Biokemija 2'],71,2.8

1745,Erdani Kreft Mateja,Medicinska fakulteta,Univerza v Ljubljani,['Biologija celice'],140,4.0

